# Program:featureCounts v2.0.0; Command:"featureCounts" "-O" "-t" "gene" "-g" "ID" "-a" "sequence.gff3" "-o" "counts.txt" "mapped/SRR6176429.bam" "mapped/SRR6176430.bam" "mapped/SRR6176431.bam" "mapped/SRR6176432.bam" "mapped/SRR6176433.bam" "mapped/SRR6176434.bam" "mapped/SRR6176435.bam" "mapped/SRR6176436.bam" "mapped/SRR6176437.bam" "mapped/SRR6176438.bam" "mapped/SRR6176439.bam" "mapped/SRR6176440.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped/SRR6176429.bam	mapped/SRR6176430.bam	mapped/SRR6176431.bam	mapped/SRR6176432.bam	mapped/SRR6176433.bam	mapped/SRR6176434.bam	mapped/SRR6176435.bam	mapped/SRR6176436.bam	mapped/SRR6176437.bam	mapped/SRR6176438.bam	mapped/SRR6176439.bam	mapped/SRR6176440.bam
gene-Rv2048c	NC_000962.3	2294531	2306986	-	12456	9584	9273	7716	7857	8941	6052	8848	5994	9599	15447	2110	13399
gene-RVnc0003	NC_000962.3	2299745	2299886	+	142	5	5	2	2	0	12	132	0	9	32	0	6
gene-Rv2049c	NC_000962.3	2307293	2307517	-	225	230	400	327	125	301	262	251	134	291	713	100	408
gene-Rv2050	NC_000962.3	2307821	2308156	+	336	940	1003	888	817	982	928	965	540	1059	1731	441	1350
gene-Rv2051c	NC_000962.3	2308131	2310755	-	2625	5455	6208	5284	4616	5540	3816	3259	3139	6822	8646	1260	6199
gene-Rv2052c	NC_000962.3	2310913	2312517	-	1605	3400	3304	2979	2280	2494	1230	1203	1879	3781	4359	465	2618
gene-Rv2053c	NC_000962.3	2312522	2313049	-	528	1393	1343	1310	861	983	599	715	689	1492	1738	227	981
gene-Rv2054	NC_000962.3	2313125	2313838	+	714	397	592	846	479	738	1127	1035	241	827	2015	206	714
gene-Rv2055c	NC_000962.3	2314087	2314353	-	267	211	462	1169	314	540	1506	658	103	950	3163	39	493
gene-Rv2056c	NC_000962.3	2314354	2314659	-	306	161	384	1059	274	499	1171	495	143	838	3452	24	557
gene-Rv2057c	NC_000962.3	2314661	2314825	-	165	98	318	809	174	465	1054	477	92	712	3493	24	481
gene-Rv2058c	NC_000962.3	2314825	2315061	-	237	98	253	359	135	250	1056	305	38	516	1405	8	148
gene-Rv2059	NC_000962.3	2315174	2316709	+	1536	1471	1808	2044	1416	1981	2447	1774	824	2639	5072	431	2149
gene-Rv2060	NC_000962.3	2316279	2316680	+	402	789	864	746	711	846	1020	770	327	1210	1757	265	903
gene-Rv2061c	NC_000962.3	2316681	2317085	-	405	510	597	668	592	589	875	613	250	881	1305	200	661
gene-Rv2062c	NC_000962.3	2317169	2320753	-	3585	880	998	1074	839	1131	1299	1035	505	1023	2668	389	1516
gene-Rv2063	NC_000962.3	2320831	2321064	+	234	25	49	40	34	24	46	30	23	47	123	15	55
gene-Rv2063A	NC_000962.3	2321057	2321467	+	411	72	102	104	73	105	138	73	54	122	347	23	165
gene-Rv2064	NC_000962.3	2321451	2322542	+	1092	600	552	549	413	494	528	683	316	568	953	133	604
gene-Rv2065	NC_000962.3	2322552	2323178	+	627	280	269	266	161	247	219	286	146	234	466	86	362
gene-Rv2066	NC_000962.3	2323175	2324701	+	1527	624	699	639	480	760	648	721	341	759	1552	190	982
gene-Rv2067c	NC_000962.3	2324647	2325870	-	1224	780	1148	912	812	1284	1233	1522	502	1292	2262	309	1502
gene-Rv2068c	NC_000962.3	2325886	2326809	-	924	584	694	579	385	643	809	941	327	727	1692	240	983
gene-Rv2069	NC_000962.3	2326944	2327501	+	558	625	781	669	366	714	1383	1304	343	626	1153	91	305
gene-Rv2070c	NC_000962.3	2327491	2328225	-	735	385	350	355	265	404	654	720	206	336	612	63	271
gene-Rv2071c	NC_000962.3	2328222	2328977	-	756	131	127	156	110	166	126	103	81	148	319	39	198
gene-Rv2072c	NC_000962.3	2328974	2330146	-	1173	179	216	259	212	223	228	219	111	214	424	84	252
gene-Rv2073c	NC_000962.3	2330214	2330963	-	750	107	84	105	84	133	132	152	64	121	167	34	152
gene-Rv2074	NC_000962.3	2330993	2331406	+	414	1764	2407	2204	1819	2245	1910	1846	1080	2431	6040	448	2964
gene-Rv2075c	NC_000962.3	2331416	2332879	-	1464	1876	1864	1924	1580	1595	1540	1704	1066	1925	4023	334	2288
gene-Rv2076c	NC_000962.3	2333037	2333288	-	252	28	39	36	24	59	31	42	18	42	82	12	42
gene-Rv2077c	NC_000962.3	2333323	2334294	-	972	42	69	78	53	115	104	97	36	77	149	48	101
gene-Rv2077A	NC_000962.3	2334295	2334594	-	300	10	9	10	13	10	13	11	5	16	29	7	15
gene-Rv2078	NC_000962.3	2335059	2335373	+	315	37	37	39	28	44	42	45	20	48	70	11	54
gene-Rv2079	NC_000962.3	2335355	2337325	+	1971	687	730	651	556	779	745	720	358	898	1297	240	979
gene-Rv2080	NC_000962.3	2337306	2337869	+	564	1128	1417	1260	931	1341	1591	1555	619	1618	2309	620	1720
gene-Rv2081c	NC_000962.3	2338065	2338505	-	441	750	768	742	478	703	1053	877	311	834	1253	321	729
gene-Rv2082	NC_000962.3	2338709	2340874	+	2166	1085	1315	1498	958	1280	1415	1078	649	1784	3283	486	2033
gene-Rv2083	NC_000962.3	2340871	2341815	+	945	1052	1168	1035	1085	1220	1059	803	505	1497	2036	283	1488
gene-Rv2084	NC_000962.3	2341808	2342944	+	1137	1027	1181	1258	1261	1114	1167	875	571	1435	2061	253	1567
gene-Rv2085	NC_000962.3	2343027	2343332	+	306	254	392	360	227	266	306	293	135	361	599	76	380
gene-Rv2086	NC_000962.3	2343311	2343916	+	606	124	174	166	98	163	111	145	91	198	270	17	195
gene-Rv2088	NC_000962.3	2344411	2346180	+	1770	331	400	352	331	293	411	378	150	430	674	99	427
gene-Rv2089c	NC_000962.3	2346197	2347324	-	1128	84	146	141	101	122	130	92	54	144	204	18	145
gene-Rv2090	NC_000962.3	2347373	2348554	+	1182	750	881	775	653	824	757	844	469	805	1508	246	1146
gene-Rv2091c	NC_000962.3	2348558	2349292	-	735	1906	2628	2037	1645	2424	2157	1765	1084	2956	5266	851	3302
gene-Rv2092c	NC_000962.3	2349334	2352054	-	2721	4007	4326	3441	3219	3460	2630	3694	2349	4659	5019	777	4032
gene-Rv2093c	NC_000962.3	2352103	2353029	-	927	2412	3076	2653	1940	2813	2339	2103	1574	2763	4557	665	3355
gene-Rv2094c	NC_000962.3	2353046	2353297	-	252	1566	2652	2207	1366	2034	2202	1337	789	2959	4165	788	3151
gene-Rv2095c	NC_000962.3	2353365	2354315	-	951	979	1204	1280	1017	978	951	855	568	1466	2220	153	1384
gene-Rv2096c	NC_000962.3	2354312	2355310	-	999	1821	2331	2434	2094	2247	1853	1451	1236	2548	3998	285	2760
gene-Rv2097c	NC_000962.3	2355319	2356677	-	1359	2604	3769	3628	2881	3741	3163	2022	1487	4561	8631	757	5056
gene-Rv2100	NC_000962.3	2358389	2360041	+	1653	756	868	831	758	926	1303	1122	387	1017	1397	237	1042
gene-Rv2101	NC_000962.3	2360240	2363281	+	3042	1086	1342	1290	807	1146	871	979	686	1362	3500	392	2187
gene-Rv2102	NC_000962.3	2363391	2364107	+	717	512	647	736	497	607	471	572	350	667	1373	96	968
gene-Rv2103c	NC_000962.3	2364086	2364520	-	435	604	760	808	648	764	584	710	404	765	1967	139	1224
gene-Rv2104c	NC_000962.3	2364527	2364781	-	255	282	415	394	305	252	443	241	116	466	1379	106	600
gene-Rv2104a	NC_000962.3	2364797	2365054	-	258	103	139	146	84	133	172	154	61	115	321	41	209
gene-Rv2107	NC_000962.3	2367359	2367655	+	297	46	68	51	25	84	34	43	43	66	82	3	68
gene-Rv2108	NC_000962.3	2367711	2368442	+	732	156	321	237	212	356	187	193	158	403	723	130	477
gene-Rv2109c	NC_000962.3	2368983	2369729	-	747	3157	3851	3834	3290	3802	3543	3540	2350	4381	7267	593	4685
gene-Rv2110c	NC_000962.3	2369726	2370601	-	876	3531	4475	4390	3724	5041	4354	4124	2247	5058	9449	728	5174
gene-Rv2111c	NC_000962.3	2370598	2370792	-	195	495	792	650	532	659	998	574	314	1023	2037	171	863
gene-Rv2112c	NC_000962.3	2370905	2372569	-	1665	2416	3025	2839	2565	3215	3095	2607	1334	2990	4562	494	2418
gene-Rv2113	NC_000962.3	2372630	2373823	+	1194	406	438	397	354	448	442	493	271	530	526	126	398
gene-Rv2114	NC_000962.3	2373834	2374457	+	624	1447	2055	1919	1291	2210	1902	1773	1084	1967	3001	489	2231
gene-Rv2115c	NC_000962.3	2374461	2376290	-	1830	8470	10331	8363	7526	10711	7085	5926	4757	12408	15711	2816	9846
gene-Rv2116	NC_000962.3	2376571	2377140	+	570	124	222	241	130	218	269	177	111	214	283	61	203
gene-Rv2117	NC_000962.3	2377148	2377441	+	294	156	143	152	117	177	201	189	79	155	229	36	172
gene-Rv2118c	NC_000962.3	2377470	2378312	-	843	390	392	398	352	347	450	444	181	459	617	85	351
gene-Rv2119	NC_000962.3	2378386	2379222	+	837	216	251	190	136	210	209	178	81	218	546	71	248
gene-Rv2120c	NC_000962.3	2379245	2379727	-	483	149	202	216	148	213	226	257	104	185	521	112	335
gene-Rv2121c	NC_000962.3	2379806	2380660	-	855	107	120	150	140	210	109	94	58	137	261	27	181
gene-Rv2122c	NC_000962.3	2380663	2380944	-	282	12	19	25	9	17	15	8	4	24	40	3	17
gene-Rv2123	NC_000962.3	2381071	2382492	+	1422	326	466	391	289	477	398	336	288	489	880	170	817
gene-Rv2124c	NC_000962.3	2382489	2386067	-	3579	5248	5937	4582	3799	6168	3725	4866	3146	6829	9809	2052	8510
gene-Rv2125	NC_000962.3	2386293	2387171	+	879	595	715	621	505	718	777	696	363	687	1648	268	1133
gene-Rv2126c	NC_000962.3	2387202	2387972	-	771	158	197	171	126	184	213	198	109	183	354	59	235
gene-Rv2127	NC_000962.3	2388616	2390085	+	1470	2130	2419	2390	2043	2018	2528	2155	1120	2853	5760	736	3580
gene-Rv2128	NC_000962.3	2390085	2390288	+	204	446	651	622	423	576	731	493	290	697	1765	226	1145
gene-Rv2129c	NC_000962.3	2390308	2391189	-	882	1362	1567	1565	1111	1444	1625	1698	882	1670	2739	351	1936
gene-Rv2130c	NC_000962.3	2391215	2392459	-	1245	1668	1886	2032	1670	2014	2161	1987	1115	2067	3017	394	2103
gene-Rv2131c	NC_000962.3	2392517	2393320	-	804	1651	2040	2113	1874	2474	2461	2398	1121	2076	3326	360	1995
gene-Rv2132	NC_000962.3	2393411	2393641	+	231	192	321	288	165	213	324	208	139	401	1019	121	638
gene-Rv2133c	NC_000962.3	2393851	2394639	-	789	1092	1265	1188	1027	1203	985	1098	648	1337	1820	270	1427
gene-Rv2134c	NC_000962.3	2394650	2395237	-	588	1411	1763	1681	1330	1799	1472	1374	783	1733	3013	413	2019
gene-Rv2135c	NC_000962.3	2395301	2396011	-	711	712	689	685	589	582	496	510	443	802	1471	170	1171
gene-Rv2136c	NC_000962.3	2396008	2396838	-	831	1168	1286	1158	877	1346	901	1090	666	1193	2149	247	1429
gene-Rv2137c	NC_000962.3	2396902	2397315	-	414	2879	3829	2951	1679	2724	2842	2058	993	2856	4910	1154	2726
gene-Rv2138	NC_000962.3	2397330	2398406	+	1077	609	1035	915	646	862	1456	597	305	1022	2190	353	1470
gene-Rv2139	NC_000962.3	2398720	2399793	+	1074	1004	1156	1068	863	1145	1078	1169	548	1282	2352	319	1665
gene-Rv2140c	NC_000962.3	2399798	2400328	-	531	372	401	466	348	508	395	355	205	458	837	120	637
gene-Rv2141c	NC_000962.3	2400376	2401722	-	1347	422	534	489	414	524	582	432	266	576	1022	153	688
gene-Rvnt22	NC_000962.3	2401987	2402072	+	86	5	18	21	6	15	22	11	6	13	30	3	18
gene-Rv2142c	NC_000962.3	2402193	2402510	-	318	158	194	193	104	178	285	204	51	233	414	49	224
gene-Rv2142A	NC_000962.3	2402507	2402722	-	216	134	213	196	94	123	377	147	39	160	677	97	207
gene-Rv2143	NC_000962.3	2402977	2404035	+	1059	908	1040	847	613	1023	623	795	697	1102	1179	197	1056
gene-Rv2144c	NC_000962.3	2404165	2404521	-	357	2042	2682	2037	1659	2413	1694	2072	1345	3614	4247	688	3018
gene-Rv2145c	NC_000962.3	2404616	2405398	-	783	6796	9263	7043	5690	8100	6848	6765	3846	11632	14872	2080	9280
gene-Rv2146c	NC_000962.3	2405666	2405956	-	291	561	711	622	540	608	558	614	351	916	1077	141	849
gene-Rv2147c	NC_000962.3	2406118	2406843	-	726	3491	5569	4748	3356	4285	2858	2468	2059	6293	14807	1081	7975
gene-Rv2148c	NC_000962.3	2406840	2407616	-	777	1281	1725	1530	1168	1065	668	512	592	2166	3409	195	1897
gene-Rv2149c	NC_000962.3	2407622	2408374	-	753	2324	2840	2690	1928	2090	1462	1196	1389	2950	5580	410	3286
gene-Rv2150c	NC_000962.3	2408385	2409524	-	1140	6628	8514	7069	6080	5068	3857	2345	2954	9270	13297	1146	7876
gene-Rv2151c	NC_000962.3	2409697	2410641	-	945	1641	2290	1835	1345	1739	1122	984	971	2447	3665	400	2512
gene-Rv2152c	NC_000962.3	2410638	2412122	-	1485	2739	3457	2938	2390	2471	1443	1266	1487	3780	5586	605	3869
gene-Rv2153c	NC_000962.3	2412119	2413351	-	1233	3354	3195	2954	2472	2536	1546	2293	1812	3349	3738	456	2690
gene-Rv2154c	NC_000962.3	2413348	2414922	-	1575	6697	7888	6725	5765	7131	3503	4185	4069	8477	11929	1462	8140
gene-Rv2155c	NC_000962.3	2414934	2416394	-	1461	3407	3802	3094	2538	3209	2140	2327	1804	4188	5376	1024	3842
gene-Rv2156c	NC_000962.3	2416396	2417475	-	1080	2722	3368	2713	2200	3052	1690	2075	1671	3554	3643	1034	3238
gene-Rv2157c	NC_000962.3	2417472	2419004	-	1533	2753	2893	2342	2033	2383	1771	1654	1336	3620	3824	1030	3096
gene-Rv2158c	NC_000962.3	2419001	2420608	-	1608	6514	7319	5978	4491	7177	4929	5214	3909	7755	7162	2927	7286
gene-Rv2159c	NC_000962.3	2420631	2421665	-	1035	6467	6978	5745	5302	8661	6306	4748	4076	8141	7655	3827	7592
gene-Rv2161c	NC_000962.3	2422271	2423137	-	867	9745	9471	7071	6267	9137	6044	9425	5034	10050	10413	3969	8733
gene-Rv2162c	NC_000962.3	2423240	2424838	-	1599	6174	6716	5857	4619	5137	6012	6191	3060	8669	10200	1937	8120
gene-Rv2163c	NC_000962.3	2425048	2427087	-	2040	2646	3616	3497	2965	3665	2110	1676	1758	4356	6929	634	4901
gene-Rv2164c	NC_000962.3	2427084	2428238	-	1155	1836	2379	2244	2001	2249	871	812	1098	2776	3769	352	3036
gene-Rv2165c	NC_000962.3	2428235	2429425	-	1191	987	1553	1487	896	1331	740	677	613	1683	3351	369	2100
gene-Rv2166c	NC_000962.3	2429427	2429858	-	432	919	1941	1676	762	1536	1288	841	706	1907	5589	513	3123
gene-Rv2169c	NC_000962.3	2431565	2431969	-	405	508	678	668	476	960	791	771	213	580	1168	275	613
gene-Rv2170	NC_000962.3	2432235	2432855	+	621	159	170	138	131	184	149	163	111	181	216	31	121
gene-Rv2171	NC_000962.3	2432951	2433634	+	684	1326	1796	1359	841	1371	1079	1712	801	1792	1436	215	980
gene-Rv2172c	NC_000962.3	2433631	2434536	-	906	3085	4376	3825	2217	3292	3000	4106	1897	5138	5805	669	4180
gene-Rv2173	NC_000962.3	2434847	2435905	+	1059	964	1130	1082	760	1119	1164	1198	536	1210	1607	202	857
gene-Rv2174	NC_000962.3	2435909	2437459	+	1551	1446	1623	1499	1095	1504	1255	1661	885	1695	2067	274	1372
gene-Rv2175c	NC_000962.3	2437446	2437886	-	441	374	495	405	274	440	391	400	281	474	691	132	538
gene-Rv2176	NC_000962.3	2437941	2439140	+	1200	307	397	377	266	413	410	382	210	434	599	151	426
gene-Rv2177c	NC_000962.3	2439282	2439947	-	666	16	12	13	12	10	9	9	4	29	15	1	10
gene-Rv2178c	NC_000962.3	2440332	2441720	-	1389	2833	3484	3226	2657	3106	3150	2634	1398	3368	5575	707	3361
gene-Rv2179c	NC_000962.3	2441811	2442317	-	507	31	58	65	47	64	92	57	22	73	112	20	82
gene-Rv2180c	NC_000962.3	2442327	2443214	-	888	102	138	134	126	163	256	126	67	164	345	43	186
gene-Rv2181	NC_000962.3	2443302	2444585	+	1284	1438	1660	1974	1619	2122	2084	1998	1151	1955	3333	397	2164
gene-Rv2182c	NC_000962.3	2444586	2445329	-	744	1762	2722	2422	1831	3337	2557	2856	1187	3029	4270	760	2761
gene-Rv2183c	NC_000962.3	2445415	2445810	-	396	628	852	684	617	782	603	631	378	886	1439	205	971
gene-Rv2184c	NC_000962.3	2445807	2446946	-	1140	1161	1359	1295	1389	1914	1074	1160	820	1490	2371	375	1750
gene-Rv2185c	NC_000962.3	2447066	2447500	-	435	442	640	553	663	771	831	495	266	873	1703	297	885
gene-Rv2186c	NC_000962.3	2447605	2447994	-	390	108	136	126	95	125	227	173	51	145	287	41	120
gene-Rv2187	NC_000962.3	2448160	2449962	+	1803	1524	1832	1632	1577	2145	1751	1549	552	2270	3415	841	1817
gene-Rv2188c	NC_000962.3	2449993	2451150	-	1158	390	486	520	497	762	585	383	251	574	763	159	497
gene-Rv2189c	NC_000962.3	2451247	2452020	-	774	924	773	719	610	686	463	699	462	772	1004	195	783
gene-Rv2190c	NC_000962.3	2452115	2453272	-	1158	4282	4774	3981	2953	3768	4229	4626	2046	4809	6299	1701	4798
gene-Rv2191	NC_000962.3	2453819	2455756	+	1938	515	526	458	395	508	461	534	317	502	751	109	471
gene-Rv2192c	NC_000962.3	2455631	2456743	-	1113	595	601	655	506	631	681	873	349	616	959	109	571
gene-Rv2193	NC_000962.3	2456901	2457512	+	612	3624	4433	5078	3654	5248	6400	5589	1696	4355	6897	433	2515
gene-Rv2194	NC_000962.3	2457553	2458395	+	843	4933	6349	6464	5411	6574	8141	5978	2627	6718	9364	436	3839
gene-Rv2195	NC_000962.3	2458392	2459681	+	1290	9918	12554	12075	11721	13072	14993	13490	5982	14286	17173	876	7147
gene-Rv2196	NC_000962.3	2459678	2461327	+	1650	16120	19900	20700	18950	22342	19092	20157	9209	22399	27074	1481	12488
gene-Rv2197c	NC_000962.3	2461504	2462148	-	645	2228	2719	2613	2135	2636	1970	1914	1361	2686	3642	334	2042
gene-Rv2198c	NC_000962.3	2462148	2463047	-	900	1645	2511	2182	1503	2113	1969	1286	1044	3016	4692	364	2414
gene-Rv2199c	NC_000962.3	2463233	2463652	-	420	1852	2456	2405	2094	2520	2357	2063	1113	2332	3351	231	1487
gene-Rv2200c	NC_000962.3	2463660	2464751	-	1092	5797	7782	7353	6528	7527	8166	7272	2715	8875	12983	824	4932
gene-Rv2201	NC_000962.3	2464997	2466955	+	1959	1034	1275	1207	944	1630	1165	1083	757	1323	2140	346	1509
gene-Rv2202c	NC_000962.3	2467053	2468027	-	975	3330	4143	3961	2993	4604	2837	3445	2494	4631	6662	1099	5229
gene-Rv2203	NC_000962.3	2468231	2468923	+	693	3609	4391	3904	3037	5165	3459	3836	2289	4950	7620	1094	5570
gene-Rv2204c	NC_000962.3	2468931	2469287	-	357	2480	3505	2882	2510	3684	3853	3219	1413	4507	7127	1023	3988
gene-Rv2205c	NC_000962.3	2469387	2470463	-	1077	163	213	176	144	194	279	179	76	211	481	89	269
gene-Rv2206	NC_000962.3	2470622	2471332	+	711	835	1042	958	834	1044	1002	868	416	1118	1540	216	889
gene-Rv2207	NC_000962.3	2471411	2472496	+	1086	1216	1131	1036	1080	971	920	1121	584	1225	1480	198	994
gene-Rv2208	NC_000962.3	2472493	2473242	+	750	1149	1098	969	897	1060	944	1189	687	1130	1402	390	1083
gene-Rv2209	NC_000962.3	2473400	2474938	+	1539	1636	2214	2073	1304	2003	2130	2208	1051	1975	3110	489	2314
gene-Rv2210c	NC_000962.3	2474864	2475970	-	1107	1479	1802	1790	1513	1665	1566	1342	811	1965	2768	311	1814
gene-Rv2211c	NC_000962.3	2476042	2477181	-	1140	632	693	830	528	770	864	790	414	859	1382	239	928
gene-Rv2212	NC_000962.3	2477190	2478326	+	1137	435	564	551	324	530	479	450	306	603	1144	232	793
gene-Rv2213	NC_000962.3	2478338	2479885	+	1548	1400	1761	1815	1801	2492	1685	1465	809	1995	2494	373	1543
gene-Rv2214c	NC_000962.3	2479923	2481701	-	1779	1918	2354	2490	2240	2993	2886	2739	1296	2433	5008	458	2715
gene-Rv2215	NC_000962.3	2481965	2483626	+	1662	2860	3959	4427	4263	6180	4994	3337	2076	4639	9042	808	5821
gene-Rv2216	NC_000962.3	2483626	2484531	+	906	1655	2045	2454	2351	2735	2685	2034	1291	2634	4017	267	2864
gene-Rv2217	NC_000962.3	2484584	2485276	+	693	866	997	1212	1081	1302	1325	1057	545	1015	1785	168	1207
gene-Rv2218	NC_000962.3	2485273	2486208	+	936	862	1118	1173	982	1288	1807	946	587	1303	2666	277	1461
gene-Rv2219	NC_000962.3	2486235	2486987	+	753	1625	2302	2366	1910	2295	2652	2084	1111	2521	3488	441	2413
gene-Rv2219A	NC_000962.3	2486994	2487416	-	423	513	687	691	505	833	664	680	492	806	1297	126	942
gene-Rv2220	NC_000962.3	2487615	2489051	+	1437	1996	2615	2521	2524	3799	3088	2555	1270	3712	7352	1699	4891
gene-Rv2221c	NC_000962.3	2489369	2492353	-	2985	2844	2761	2918	2741	3232	2585	2694	1563	3382	4280	600	2756
gene-Rv2222c	NC_000962.3	2492402	2493742	-	1341	4818	6166	6007	5170	6531	5558	5069	2652	6504	10033	981	6021
gene-Rv2223c	NC_000962.3	2493837	2495399	-	1563	1449	1716	1714	1253	1524	1787	1911	829	1916	2552	284	1589
gene-Rv2224c	NC_000962.3	2495461	2497023	-	1563	1983	2516	2541	2473	3539	2555	2105	1423	2699	3883	478	2350
gene-Rv2224d	NC_000962.3	2497225	2497446	-	222	3	6	12	8	7	10	18	12	9	9	2	9
gene-Rv2225	NC_000962.3	2497742	2498587	+	846	1148	1723	1655	958	1811	2084	1529	829	1462	1888	485	1354
gene-Rv2226	NC_000962.3	2498832	2500373	+	1542	458	641	635	733	1170	615	518	311	876	978	242	505
gene-Rvns01	NC_000962.3	2500445	2500751	-	307	196745	268873	189851	114424	192396	315001	279060	69645	283733	323289	179318	219696
gene-Rv2227	NC_000962.3	2500931	2501632	+	702	487	625	643	518	655	980	750	277	657	706	79	523
gene-Rv2228c	NC_000962.3	2501644	2502738	-	1095	624	856	897	790	970	1144	801	351	946	1537	140	963
gene-Rv2229c	NC_000962.3	2502735	2503472	-	738	361	416	448	437	509	511	399	226	495	803	80	507
gene-Rv2230c	NC_000962.3	2503469	2504608	-	1140	482	487	576	582	642	547	530	340	555	877	97	585
gene-Rv2231c	NC_000962.3	2504605	2505699	-	1095	331	328	366	334	350	424	379	185	391	666	83	402
gene-Rv2231A	NC_000962.3	2505736	2506161	-	426	23	33	23	28	64	66	81	19	46	79	16	64
gene-Rv2231B	NC_000962.3	2506207	2506383	-	177	27	16	31	11	14	34	36	12	17	32	8	18
gene-Rv2232	NC_000962.3	2506278	2507153	+	876	327	323	2440	366	449	497	396	176	355	554	56	373
gene-Rv2234	NC_000962.3	2507146	2507637	+	492	262	302	338	357	468	380	304	182	343	484	41	352
gene-Rv2235	NC_000962.3	2507637	2508452	+	816	563	734	871	715	873	957	742	423	862	1085	139	886
gene-Rv2236c	NC_000962.3	2508434	2509375	-	942	321	394	430	259	390	496	402	198	404	568	73	463
gene-Rv2237	NC_000962.3	2509489	2510256	+	768	767	1023	842	551	795	1216	934	444	995	1327	293	1024
gene-Rv2237A	NC_000962.3	2510351	2510587	-	237	262	365	248	216	208	486	242	103	325	627	177	320
gene-Rvnt23	NC_000962.3	2510598	2510669	-	72	47	57	64	60	56	79	82	27	54	111	18	56
gene-Rv2238c	NC_000962.3	2510715	2511176	-	462	723	1038	964	768	883	1210	1107	484	970	1732	222	1072
gene-Rv2239c	NC_000962.3	2511176	2511652	-	477	1000	1638	1314	1127	1234	2021	1403	556	1686	2799	458	1614
gene-Rv2240c	NC_000962.3	2511690	2512280	-	591	324	284	347	322	308	447	370	159	342	721	133	412
gene-Rv2241	NC_000962.3	2512539	2515244	+	2706	3813	4743	4581	4736	6015	6454	5337	2706	5091	8661	944	5465
gene-Rv2242	NC_000962.3	2515304	2516548	+	1245	794	1078	1108	839	1164	1267	1051	571	1152	1956	220	1382
gene-Rv2243	NC_000962.3	2516787	2517695	+	909	1473	1929	1921	1499	3412	2458	1892	1551	2704	5843	1223	4029
gene-RVnc0018	NC_000962.3	2517032	2517134	-	103	299	316	369	341	689	327	435	394	406	624	179	578
gene-Rv2244	NC_000962.3	2517771	2518118	+	348	3431	4553	4268	4612	10490	4933	6546	3359	7597	13513	3331	10184
gene-Rv2245	NC_000962.3	2518115	2519365	+	1251	11865	14457	14018	14258	30394	12301	19940	12000	19845	30241	6758	26757
gene-Rv2246	NC_000962.3	2519396	2520712	+	1317	9591	11847	11531	10706	20073	8859	11657	8549	16527	25095	4320	21936
gene-Rv2247	NC_000962.3	2520743	2522164	+	1422	11830	12971	14025	11243	20606	10123	13984	10582	16245	24362	4607	21264
gene-Rv2248	NC_000962.3	2522360	2523175	+	816	927	1223	1292	682	1508	953	876	858	1368	2357	354	2112
gene-Rv2249c	NC_000962.3	2523241	2524791	-	1551	256	278	318	240	319	223	173	185	274	571	78	458
gene-Rv2250c	NC_000962.3	2524785	2525354	-	570	53	77	88	54	84	78	42	23	91	122	18	81
gene-Rv2251	NC_000962.3	2525565	2526992	+	1428	280	463	601	376	513	304	233	176	521	766	128	603
gene-Rv2252	NC_000962.3	2526989	2527918	+	930	168	248	306	227	322	164	163	127	325	435	80	336
gene-Rv2253	NC_000962.3	2527984	2528487	+	504	82	134	100	66	118	81	75	44	181	542	67	423
gene-Rv2254c	NC_000962.3	2528520	2528975	-	456	348	338	305	228	279	126	233	217	411	623	74	468
gene-Rv2256a	NC_000962.3	2528980	2529174	-	195	579	649	585	482	483	308	570	435	643	770	73	514
gene-Rv2256c	NC_000962.3	2529341	2529874	-	534	3507	4742	3850	2690	2983	3176	3332	1738	4554	6477	1169	4268
gene-Rv2257c	NC_000962.3	2530004	2530822	-	819	800	713	717	738	705	821	1177	451	728	1110	138	583
gene-Rv2258c	NC_000962.3	2530836	2531897	-	1062	1212	1371	1229	1059	1257	1703	1909	694	1428	2307	311	1232
gene-Rv2259	NC_000962.3	2532245	2533330	+	1086	1267	1441	1401	1261	1662	1848	1993	863	1413	2982	279	1484
gene-Rv2260	NC_000962.3	2533330	2533965	+	636	704	765	855	750	1167	1175	1132	504	822	1722	181	1008
gene-Rv2263	NC_000962.3	2535641	2536594	+	954	232	304	244	250	284	264	224	137	304	496	80	329
gene-Rv2264c	NC_000962.3	2536572	2538350	-	1779	474	518	586	424	510	615	479	257	572	896	149	601
gene-Rv2265	NC_000962.3	2538700	2539929	+	1230	26	47	47	41	61	54	75	23	66	142	24	75
gene-Rv2266	NC_000962.3	2540104	2541390	+	1287	362	475	390	364	586	558	355	217	482	813	166	502
gene-Rv2267c	NC_000962.3	2541644	2542810	-	1167	48	108	108	92	140	137	69	48	141	330	26	221
gene-Rv2268c	NC_000962.3	2542807	2544276	-	1470	93	139	128	145	200	134	94	56	135	344	36	220
gene-Rv2269c	NC_000962.3	2544289	2544621	-	333	14	25	19	16	27	51	14	7	20	53	4	20
gene-Rv2270	NC_000962.3	2544698	2545225	+	528	15	28	23	22	41	32	28	21	28	60	7	40
gene-Rv2271	NC_000962.3	2545332	2545631	+	300	83	126	120	117	143	291	215	76	176	398	71	293
gene-Rv2272	NC_000962.3	2545737	2546105	+	369	206	252	269	195	391	412	463	148	261	595	96	436
